Date time, Open, High, Low, Close, MA9, MA26, MA52, MA104, RSI
2021.07.13 00:00:00,1.38805000,1.39052000,1.38000000,1.38130000,1.38235444,1.39249346,1.40122038,1.39433615,41.80639969
2021.07.14 00:00:00,1.38130000,1.38916000,1.38014000,1.38599000,1.38345000,1.39135923,1.40112769,1.39422788,46.08360564
2021.07.15 00:00:00,1.38592000,1.38987000,1.38049000,1.38264000,1.38339222,1.39024962,1.40101423,1.39405683,43.53351238
2021.07.16 00:00:00,1.38250000,1.38618000,1.37603000,1.37644000,1.38250889,1.38866885,1.40074712,1.39377183,40.35654376
2021.07.19 00:00:00,1.37740000,1.37761000,1.36548000,1.36736000,1.38112778,1.38697962,1.40033519,1.39334971,34.12465246
2021.07.20 00:00:00,1.36733000,1.36894000,1.35718000,1.36257000,1.37920111,1.38512846,1.39964096,1.39285625,31.71386944
2021.07.21 00:00:00,1.36252000,1.37229000,1.35912000,1.37132000,1.37840111,1.38370769,1.39886519,1.39257375,40.05562823
2021.07.22 00:00:00,1.37134000,1.37869000,1.36906000,1.37665000,1.37692444,1.38287154,1.39814500,1.39241942,44.41357796
2021.07.23 00:00:00,1.37657000,1.37798000,1.37198000,1.37459000,1.37542889,1.38219077,1.39755615,1.39224750,44.21031305
2021.07.26 00:00:00,1.37582000,1.38332000,1.37365000,1.38170000,1.37547333,1.38227192,1.39710981,1.39211798,48.77794263
2021.07.27 00:00:00,1.38165000,1.38940000,1.37668000,1.38772000,1.37566556,1.38205885,1.39668808,1.39204933,53.08406658
2021.07.28 00:00:00,1.38772000,1.39106000,1.38426000,1.39001000,1.37648444,1.38188269,1.39623135,1.39205558,54.66234755
2021.07.29 00:00:00,1.39005000,1.39816000,1.38979000,1.39606000,1.37866444,1.38188538,1.39580058,1.39218202,58.34488339
2021.07.30 00:00:00,1.39585000,1.39831000,1.38878000,1.39068000,1.38125556,1.38182846,1.39540442,1.39226567,53.81171398
2021.08.02 00:00:00,1.39035000,1.39322000,1.38755000,1.38844000,1.38413000,1.38184000,1.39481846,1.39226356,52.30658884
2021.08.03 00:00:00,1.38845000,1.39388000,1.38781000,1.39135000,1.38635556,1.38196538,1.39436288,1.39224462,54.43930103
2021.08.04 00:00:00,1.39140000,1.39575000,1.38857000,1.38878000,1.38770333,1.38216808,1.39384923,1.39214721,52.20388299
2021.08.05 00:00:00,1.38877000,1.39488000,1.38721000,1.39285000,1.38973222,1.38255154,1.39342538,1.39215635,55.13211841
2021.08.06 00:00:00,1.39269000,1.39326000,1.38613000,1.38736000,1.39036111,1.38298346,1.39295981,1.39213087,50.59731545
2021.08.09 00:00:00,1.38740000,1.38943000,1.38406000,1.38448000,1.39000111,1.38303423,1.39227019,1.39208558,48.42480935
2021.08.10 00:00:00,1.38469000,1.38724000,1.38276000,1.38362000,1.38929111,1.38300462,1.39159442,1.39196721,47.47477171
2021.08.11 00:00:00,1.38355000,1.38877000,1.38027000,1.38626000,1.38820222,1.38325346,1.39092769,1.39190471,50.33837409
2021.08.12 00:00:00,1.38668000,1.38785000,1.37949000,1.38050000,1.38707111,1.38327615,1.39026942,1.39184875,44.97978527
2021.08.13 00:00:00,1.38038000,1.38750000,1.37905000,1.38694000,1.38690444,1.38360000,1.38969269,1.39185904,49.54211955
2021.08.16 00:00:00,1.38544000,1.38780000,1.38277000,1.38396000,1.38608333,1.38337000,1.38918442,1.39194577,48.31818231
2021.08.17 00:00:00,1.38396000,1.38450000,1.37260000,1.37436000,1.38448111,1.38284346,1.38837481,1.39200019,40.87620124
2021.08.18 00:00:00,1.37387000,1.37864000,1.37236000,1.37531000,1.38253222,1.38261308,1.38755327,1.39201471,42.16542004
2021.08.19 00:00:00,1.37536000,1.37581000,1.36317000,1.36326000,1.37985444,1.38173885,1.38654904,1.39186173,34.77852589
2021.08.20 00:00:00,1.36326000,1.36434000,1.36021000,1.36227000,1.37738667,1.38095538,1.38560250,1.39172990,34.07062158
2021.08.23 00:00:00,1.36195000,1.37320000,1.36101000,1.37220000,1.37611778,1.38079231,1.38473058,1.39171356,43.51220339
2021.08.24 00:00:00,1.37220000,1.37476000,1.36937000,1.37274000,1.37461556,1.38099923,1.38398942,1.39166327,43.97438083
2021.08.25 00:00:00,1.37274000,1.37666000,1.36967000,1.37631000,1.37415000,1.38152769,1.38332808,1.39159740,46.94143481
2021.08.26 00:00:00,1.37616000,1.37680000,1.36894000,1.36977000,1.37224222,1.38146808,1.38258788,1.39146904,42.43487366
2021.08.27 00:00:00,1.36975000,1.37802000,1.36796000,1.37565000,1.37131889,1.38142962,1.38215058,1.39133240,47.58401876
